user_id,observation.id,observation.license_code,observation.photo.id,observation.photo.license_code
jbest,285753705,CC-BY,513639975,CC-BY
jbest,285753705,CC-BY,513640013,CC-BY
jbest,285754186,CC-BY,513640716,CC-BY
jbest,285754186,CC-BY,513640808,CC-BY
jbest,285754186,CC-BY,513640788,CC-BY
jbest,288866811,CC-BY,519518755,CC-BY
jbest,288866811,CC-BY,519518760,CC-BY
jbest,288866811,CC-BY,519518761,CC-BY
jbest,288866887,CC-BY,519518942,CC-BY
jbest,288866887,CC-BY,519518946,CC-BY
jbest,288866942,CC-BY,519519072,CC-BY
jbest,288866942,CC-BY,519519076,CC-BY
jbest,289107299,CC-BY,519962565,CC-BY
jbest,289331392,CC-BY,520387861,CC-BY
jbest,289331392,CC-BY,520387862,CC-BY
jbest,299570650,CC-BY,539704834,CC-BY
jbest,299570650,CC-BY,539704835,CC-BY
jbest,299570650,CC-BY,539704838,CC-BY
jbest,299570650,CC-BY,539704841,CC-BY
jbest,299570717,CC-BY,539704939,CC-BY
jbest,299570717,CC-BY,539704935,CC-BY
jbest,299570717,CC-BY,539704952,CC-BY
jbest,299570717,CC-BY,539704994,CC-BY
jbest,299570717,CC-BY,539704957,CC-BY
jbest,299570784,CC-BY,539705106,CC-BY
jbest,299570784,CC-BY,539705100,CC-BY
jbest,299570784,CC-BY,539705090,CC-BY
jbest,299570784,CC-BY,539705094,CC-BY
jbest,299570949,CC-BY,539705472,CC-BY
jbest,299570949,CC-BY,539705422,CC-BY
jbest,299570949,CC-BY,539705428,CC-BY
jbest,299570949,CC-BY,539705424,CC-BY
jbest,299571754,CC-BY,539706888,CC-BY
jbest,299571754,CC-BY,539706900,CC-BY
jbest,299571754,CC-BY,539706901,CC-BY
jbest,299571754,CC-BY,539706905,CC-BY
jbest,299571819,CC-BY,539707013,CC-BY
jbest,299571819,CC-BY,539707008,CC-BY
jbest,299571819,CC-BY,539707005,CC-BY
jbest,299571904,CC-BY,539707113,CC-BY
jbest,299571904,CC-BY,539707112,CC-BY
jbest,299571904,CC-BY,539707124,CC-BY
jbest,299571904,CC-BY,539707123,CC-BY
jbest,299572156,CC-BY,539707572,CC-BY
jbest,299572156,CC-BY,539707573,CC-BY
jbest,299572212,CC-BY,539707691,CC-BY
jbest,299572212,CC-BY,539707690,CC-BY
jbest,299572252,CC-BY,539707816,CC-BY
jbest,299572252,CC-BY,539707821,CC-BY
jbest,299572314,CC-BY,539707939,CC-BY
jbest,299572314,CC-BY,539707941,CC-BY
jbest,299572314,CC-BY,539707952,CC-BY
jbest,299572314,CC-BY,539707943,CC-BY
jbest,299572314,CC-BY,539707946,CC-BY
jbest,299572760,CC-BY,539708783,CC-BY
jbest,299572760,CC-BY,539708750,CC-BY
jbest,299572760,CC-BY,539708744,CC-BY
jbest,299572760,CC-BY,539708763,CC-BY
jbest,299572789,CC-BY,539708864,CC-BY
jbest,299572789,CC-BY,539708825,CC-BY
jbest,299572848,CC-BY,539709018,CC-BY
jbest,299572848,CC-BY,539709017,CC-BY
jbest,299572920,CC-BY,539709158,CC-BY
jbest,299572920,CC-BY,539709152,CC-BY
jbest,299572920,CC-BY,539709142,CC-BY
jbest,299572920,CC-BY,539709150,CC-BY
jbest,299573014,CC-BY,539709344,CC-BY
jbest,299573014,CC-BY,539709354,CC-BY
jbest,299573014,CC-BY,539709348,CC-BY
jbest,299573014,CC-BY,539709350,CC-BY
jbest,299573014,CC-BY,539709352,CC-BY
jbest,299573697,CC-BY,539710420,CC-BY
jbest,299573697,CC-BY,539710447,CC-BY
jbest,299573744,CC-BY,539710519,CC-BY
jbest,299573807,CC-BY,539710635,CC-BY
